date,total_return_index,equity_return_percent,unit_nav
2012-02-23,82.99166442684597,0.248,2.425
2012-02-24,84.15529055377479,1.4021,2.459
2012-02-27,84.46329891720161,0.366,2.468
2012-02-28,84.73704446899227,0.3241,2.476
2012-02-29,83.88145453098885,-1.0097,2.451
2012-03-01,83.81300726409155,-0.0816,2.449
2012-03-02,84.97658324393895,1.3883,2.483
2012-03-05,84.3947485784677,-0.6847,2.466
2012-03-06,83.16266964397064,-1.4599,2.43
2012-03-07,82.61512662703474,-0.6584,2.414
2012-03-08,83.50497415593453,1.0771,2.44
2012-03-09,84.18946442909073,0.8197,2.46
2012-03-12,83.94986121332553,-0.2846,2.453
2012-03-13,84.66855597517282,0.8561,2.474
2012-03-14,82.47826510065107,-2.5869,2.41
2012-03-15,81.89646341863107,-0.7054,2.393
2012-03-16,82.95735020575601,1.2954,2.424
2012-03-19,83.06005140531074,0.1238,2.427
2012-03-20,81.86224240399476,-1.4421,2.392
2012-03-21,81.9306792386445,0.0836,2.394
2012-03-22,81.82802009755848,-0.1253,2.391
2012-03-23,81.00663043181919,-1.0038,2.367
2012-03-26,81.04081522986141,0.0422,2.368
2012-03-27,80.86973806891118,-0.2111,2.363
2012-03-28,78.71366998225594,-2.6661,2.3
2012-03-29,77.55004579890824,-1.4783,2.266
2012-03-30,77.96075084145926,0.5296,2.278
2012-03-31,77.96075084145926,0.0,2.278
2012-04-05,79.32966366548445,1.7559,2.318
2012-04-06,79.43231625026758,0.1294,2.321
2012-04-09,78.67937732453129,-0.9479,2.299
2012-04-10,79.39803475701355,0.9134,2.32
2012-04-11,79.50069641595437,0.1293,2.323
2012-04-12,80.9723338073101,1.8511,2.366
2012-04-13,81.21193094304591,0.2959,2.373
2012-04-16,81.14346928526092,-0.0843,2.371
2012-04-17,80.39053903376298,-0.9279,2.349
2012-04-18,81.99907332928953,2.0009,2.396
2012-04-19,81.99907332928953,0.0,2.396
2012-04-20,82.95731450021562,1.1686,2.424
2012-04-23,82.47815305166237,-0.5776,2.41
2012-04-24,82.58083835221169,0.1245,2.413
2012-04-25,83.231079873397,0.7874,2.432
2012-04-26,83.231079873397,0.0,2.432
2012-04-27,83.02574879934933,-0.2467,2.426
2012-05-02,84.53158680532313,1.8137,2.47
2012-05-03,84.63429268329159,0.1215,2.473
2012-05-04,85.07921515992766,0.5257,2.486
2012-05-07,85.04501331543337,-0.0402,2.485
2012-05-08,84.8739027486427,-0.2012,2.48
2012-05-09,83.43656320559444,-1.6935,2.438
2012-05-10,83.43656320559444,0.0,2.438
2012-05-11,82.92317803219042,-0.6153,2.423
2012-05-14,82.30714174258928,-0.7429,2.405
2012-05-15,82.20450473683627,-0.1247,2.402
2012-05-16,81.14357339870266,-1.2906,2.371
2012-05-17,82.3414148292143,1.4762,2.406
2012-05-18,81.17784829626267,-1.4131,2.372
2012-05-21,81.34897120047118,0.2108,2.377
2012-05-22,82.23876624746192,1.0938,2.403
2012-05-23,81.93078206786518,-0.3745,2.394
2012-05-24,81.41740378742794,-0.6266,2.379
2012-05-25,80.80139971037227,-0.7566,2.361
2012-05-28,81.82806229509227,1.2706,2.391
2012-05-29,82.82055486266944,1.2129,2.42
2012-05-30,82.61524270716488,-0.2479,2.414
2012-05-31,82.20456233566757,-0.4971,2.402
2012-06-01,82.2730387360932,0.0833,2.404
2012-06-04,80.01431473063249,-2.7454,2.338
