date,us_oneq_spy_z252,china_510300_510210_z252,gold_cny,money511990_cny,sp500,spy_tr,nasdaq,oneq_tr,shanghai_composite,etf510210_cny,csi300,etf510300_cny,gross
2021-08-18,-0.9908625402,-1.6022768077,0.0400359659,0.0998614543,0.0000000000,0.3054521035,0.0000000000,0.5546504763,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2021-11-09,0.2207780814,-1.0269642574,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2022-07-20,-1.1510755964,-1.0747151649,0.3018846526,0.6935878347,0.0000000000,-0.0011318782,0.0000000000,0.0056593908,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0011318782
2022-07-21,-0.9663195976,-1.1780099129,0.3018846526,0.6935878347,0.0000000000,0.0000000000,0.0000000000,0.0045275127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2022-07-25,-1.0564049833,-1.1537285718,0.3018846526,0.6935878347,0.0000000000,-0.0011318782,0.0000000000,0.0056593908,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0011318782
2022-08-01,-0.9348791521,-1.4269301729,0.3018846526,0.6935878347,0.0000000000,0.0000000000,0.0000000000,0.0045275127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2022-09-05,-1.0278922292,-1.5546048980,0.3018846526,0.6935878347,0.0000000000,-0.0011318782,0.0000000000,0.0056593908,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0011318782
2022-09-12,-0.8808299877,-1.6144441592,0.3018846526,0.6935878347,0.0000000000,0.0000000000,0.0000000000,0.0045275127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2022-09-14,-1.0202316895,-1.4671778804,0.3018846526,0.6935878347,0.0000000000,-0.0011318782,0.0000000000,0.0056593908,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0011318782
2022-09-15,-0.9214274486,-1.5571527787,0.3018846526,0.6935878347,0.0000000000,0.0000000000,0.0000000000,0.0045275127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2022-09-23,-1.0331065403,-1.6837551077,0.3018846526,0.6935878347,0.0000000000,-0.0011318782,0.0000000000,0.0056593908,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0011318782
2022-09-27,-0.9572727276,-1.3953314582,0.3018846526,0.6935878347,0.0000000000,0.0000000000,0.0000000000,0.0045275127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2022-10-04,-1.0191601126,-1.4357318653,0.3018846526,0.6935878347,0.0000000000,-0.0011318782,0.0000000000,0.0056593908,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0011318782
2022-10-05,-0.9952171434,-1.4240658574,0.3018846526,0.6935878347,0.0000000000,0.0000000000,0.0000000000,0.0045275127,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2022-10-10,-1.0623422690,-1.3888820233,0.3018846526,0.6935878347,0.0000000000,-0.0011318782,0.0000000000,0.0056593908,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0011318782
2023-01-04,-2.1841106918,-0.9064036424,0.3561195524,0.6385395475,0.0000000000,-0.0013352250,0.0000000000,0.0066761252,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0013352250
2023-01-05,-2.2310229887,-0.9664565075,0.6116247605,0.3843953879,0.0000000000,-0.0009949629,0.0000000000,0.0049748145,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0009949629
2023-01-27,-0.9511835034,-0.0462352307,0.6116247605,0.3843953879,0.0000000000,0.0000000000,0.0000000000,0.0039798516,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-03-27,0.7413633103,-1.5885757608,0.7918431361,0.1447264014,0.0000000000,0.0000000000,0.0000000000,0.0634304626,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-03-29,0.4962083213,-1.7722354977,0.9258360568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0741639432,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-05-17,1.1317381193,-1.9507411823,0.9258360568,0.0000000000,0.0000000000,0.0185409858,0.0000000000,0.0556229574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-08-18,0.9805205574,-1.3137705714,0.9258360568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0741639432,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-08-22,1.1004343770,-1.4310865975,0.9258360568,0.0000000000,0.0000000000,0.0185409858,0.0000000000,0.0556229574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-09-21,0.9341590343,-1.8197847389,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-10-02,1.0342569303,-1.8048584338,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-10-19,0.9627255640,-1.7082706981,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-10-25,1.0054268263,-1.6423955637,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-10-26,0.7456583714,-1.6483891298,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-11-08,1.1286730104,-1.2611200453,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-12-01,0.9458476803,-1.7397706665,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-12-08,1.0123925116,-1.8095834373,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-12-12,0.9726407828,-1.8178233930,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-12-13,1.0070542198,-1.8470581641,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-12-15,0.9962743829,-1.9694886984,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2023-12-18,1.1356117495,-1.9310253116,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-01-03,0.7735403468,-1.6892207636,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-01-17,1.0069296724,-1.6568594123,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-01-18,0.9944057125,-1.6603346735,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-01-19,1.1414044609,-1.3788300502,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-01,0.8149937901,-1.3638601730,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-05,1.0775056439,-1.0521665243,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-02-21,0.8812196676,-0.9409064984,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-01,1.0972994379,-0.8463968798,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-06,0.7045005887,-0.7090710530,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-04-12,1.0282465528,-1.0580982673,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-04-15,0.9366115626,-1.1748845667,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-05-06,1.0116300042,-0.5483807098,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-05-08,0.8920680589,-0.3860135241,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-05-16,1.0704029217,-0.2358608256,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-05-20,0.7369167108,-0.0412597059,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-05-21,1.4042610557,-0.1864794875,0.6666660458,0.0000000000,0.0000000000,0.1352405843,0.0000000000,0.1980933699,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-07-25,0.9489260437,0.9529605386,0.6666660458,0.0000000000,0.0000000000,0.0519070958,0.0000000000,0.2814268584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-08-15,-0.0097233984,0.4030651610,0.3306416503,0.2026677876,0.0000000000,0.2504694821,0.0000000000,0.2162210800,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-09-04,-1.2715795463,1.5856915796,0.3306416503,0.2026677876,0.0000000000,0.1337968415,0.0000000000,0.3328937206,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-09-06,-0.8349318989,1.4181625347,0.3306416503,0.2026677876,0.0000000000,0.2504694821,0.0000000000,0.2162210800,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-09-09,-1.4687515074,1.4644012010,0.3306416503,0.2026677876,0.0000000000,0.1337968415,0.0000000000,0.3328937206,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-09-12,-0.4998017022,1.6613365011,0.3306416503,0.2026677876,0.0000000000,0.2504694821,0.0000000000,0.2162210800,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-11-07,0.8713679574,2.0391913436,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2024-11-08,1.3234089445,2.2306096211,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2024-11-15,0.9462237348,2.1149571184,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2024-12-04,1.0795778325,1.0175829953,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2024-12-05,1.5345195522,0.9326424142,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2024-12-20,2.4961786106,1.0844828742,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2024-12-23,2.3869573464,0.9078148260,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
