date,per_hundred_income,total_return_index
2014-11-09,1.0651000000,107.477089593296
2014-11-10,0.9609000000,107.463771626361
2014-11-11,1.2341000000,107.484561189903
2014-11-12,1.2914000000,107.498441746135
2014-11-13,0.9743000000,107.511064165992
2014-11-15,1.9452000000,107.544881009522
2014-11-16,1.0882000000,107.556584043473
2014-11-17,0.9624000000,107.544346972225
2014-11-18,0.9595000000,107.548216117258
2014-11-19,0.9570000000,107.541291128969
2014-11-20,0.9530000000,107.551539814013
2014-11-22,1.9171000000,107.523742364992
2014-11-23,0.9475000000,107.533930239581
2014-11-24,0.9694000000,107.296841320831
2014-11-25,0.9830000000,107.453754868330
2014-11-26,1.5183000000,107.580947048178
2014-11-27,1.0481000000,107.653584909738
2014-11-29,1.9667000000,107.705982409021
2014-11-30,1.1316000000,107.718170417990
2014-12-01,0.9905000000,107.688988628710
2014-12-02,1.5110000000,107.708498326533
2014-12-03,1.2834000000,107.729858507532
2014-12-04,0.9753000000,107.746834426826
2014-12-06,1.9472000000,107.779662008469
2014-12-07,0.9703000000,107.790119869073
2014-12-08,0.9643000000,107.782193122591
2014-12-09,1.1557000000,107.795726854244
2014-12-10,0.9790000000,107.799815361508
2014-12-11,0.9753000000,107.820027064845
2014-12-13,1.9451000000,107.834532555843
2014-12-14,0.9729000000,107.845023777515
2014-12-15,0.9606000000,107.833807470105
2014-12-16,0.8786000000,107.813079417571
2014-12-17,0.9358000000,107.781103563250
2014-12-18,0.9443000000,107.817168033069
2014-12-20,1.8955000000,107.871062167091
2014-12-21,0.9806000000,107.881640003447
2014-12-22,1.0494000000,107.892961102749
2014-12-23,1.0838000000,107.940271735115
2014-12-24,1.0774000000,107.973487976362
2014-12-25,1.0912000000,107.987436367840
2014-12-27,2.1430000000,108.013815900411
2014-12-28,1.1177000000,108.025888604615
2014-12-29,1.0857000000,108.016010238095
2014-12-30,1.1734000000,108.047055190886
2015-01-03,4.6960000000,108.122645702332
2015-01-04,1.1733000000,108.135331732352
2015-01-05,1.0803000000,108.094049744849
2015-01-06,1.2470000000,108.107529072852
2015-01-07,1.1444000000,108.123142843351
2015-01-08,1.0930000000,108.141445301298
2015-01-10,2.1898000000,108.166207118062
2015-01-11,1.0757000000,108.177842556962
