date,z_score,gold_transfer_positive_toward_gold,gold_cny,money511990_cny,spy_tr,oneq_tr,etf510210_cny,etf510300_cny,gross
2011-02-18,-0.9468425327,0.0000000000,0.3357173732,0.0000000000,0.0577677098,0.3834386354,0.0000000000,0.0000000000,0.7769237184
2011-02-23,-0.4760435209,0.0000000000,0.3137673424,0.0000000000,0.0549215974,0.4152729296,0.0000000000,0.0000000000,0.7839618694
2011-04-01,0.7285494413,0.0000000000,0.5368733029,0.0000000000,0.0249820672,0.3220658631,0.0000000000,0.0000000000,0.8839212332
2011-04-04,0.4735804467,0.0000000000,0.7462470440,0.0000000000,0.0000000000,0.2521342914,0.0000000000,0.0000000000,0.9983813355
2011-04-15,1.0385830829,-0.2495953339,0.4966517102,0.0000000000,0.0000000000,0.5017296253,0.0000000000,0.0000000000,0.9983813355
2011-07-04,0.7620887937,0.0000000000,0.7462470440,0.0000000000,0.0000000000,0.2521342914,0.0000000000,0.0000000000,0.9983813355
2011-07-07,1.1336697594,-0.2495953339,0.4966517102,0.0000000000,0.0000000000,0.5017296253,0.0000000000,0.0000000000,0.9983813355
2011-07-28,2.1674942260,-0.2233455197,0.4733959669,0.0000000000,0.0000000000,0.4199861118,0.0000000000,0.0000000000,0.8933820787
2011-09-16,2.0534129633,-0.1579659376,0.3289311520,0.0000000000,0.0000000000,0.3029325985,0.0000000000,0.0000000000,0.6318637505
2011-09-19,2.1413015406,-0.1266954339,0.2582628482,0.0000000000,0.0000000000,0.2485188874,0.0000000000,0.0000000000,0.5067817356
2011-12-13,0.9024004376,0.0000000000,0.3849582821,0.0000000000,0.0000000000,0.1218234535,0.0000000000,0.0000000000,0.5067817356
2011-12-15,0.7345151162,0.0000000000,0.3029012314,0.0000000000,0.2459294500,0.0171306450,0.0000000000,0.0000000000,0.5659613263
2012-03-05,-0.0802180557,0.0000000000,0.3463075958,0.0000000000,0.1700247624,0.1443033304,0.0000000000,0.0000000000,0.6606356886
2012-03-07,-0.1064534622,0.0000000000,0.1935174922,0.0000000000,0.1193389273,0.1646517181,0.0000000000,0.0000000000,0.4775081376
2012-03-12,-0.0826918293,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2012-05-28,-0.9137857209,0.0000000000,0.2531607864,0.0000000000,0.1479511089,0.3186639269,0.0000000000,0.0000000000,0.7197758222
2012-05-30,-1.1597371185,0.1799439555,0.4331047419,0.0000000000,0.0908957084,0.1957753719,0.0000000000,0.0000000000,0.7197758222
2012-05-31,-0.9455768514,0.0000000000,0.2531607864,0.0000000000,0.1479511089,0.3186639269,0.0000000000,0.0000000000,0.7197758222
2012-08-20,-0.4462488111,0.0000000000,0.1816042220,0.0000000000,0.0888599892,0.2333988647,0.0000000000,0.0000000000,0.5038630759
2012-09-05,0.8444287594,0.0000000000,0.2083234935,0.0000000000,0.1019338823,0.3544380389,0.0000000000,0.0000000000,0.6646954146
2012-09-14,1.0946902916,-0.1661738537,0.0421496398,0.0000000000,0.1390499827,0.4834957922,0.0000000000,0.0000000000,0.6646954146
2012-09-17,0.9962779204,0.0000000000,0.2083234935,0.0000000000,0.1019338823,0.3544380389,0.0000000000,0.0000000000,0.6646954146
2012-09-18,1.1412148704,-0.1661738537,0.0421496398,0.0000000000,0.1390499827,0.4834957922,0.0000000000,0.0000000000,0.6646954146
2012-10-16,0.8600868853,0.0000000000,0.2083234935,0.0000000000,0.1019338823,0.3544380389,0.0000000000,0.0000000000,0.6646954146
2012-10-30,1.0011574932,-0.1661738537,0.0421496398,0.0000000000,0.1390499827,0.4834957922,0.0000000000,0.0000000000,0.6646954146
2012-10-31,0.9918239869,0.0000000000,0.2083234935,0.0000000000,0.1019338823,0.3544380389,0.0000000000,0.0000000000,0.6646954146
2012-11-01,1.0598850979,-0.1661738537,0.0421496398,0.0000000000,0.1390499827,0.4834957922,0.0000000000,0.0000000000,0.6646954146
2012-11-02,0.6816221507,0.0000000000,0.2083234935,0.0000000000,0.1019338823,0.3544380389,0.0000000000,0.0000000000,0.6646954146
2012-11-09,1.4248428183,-0.1661738537,0.0421496398,0.0000000000,0.1390499827,0.4834957922,0.0000000000,0.0000000000,0.6646954146
2012-11-12,1.5789776025,-0.1956066499,0.0496152051,0.0000000000,0.1636785853,0.5691328092,0.0000000000,0.0000000000,0.7824265996
2012-11-13,1.4831225699,-0.1346998450,0.2459190863,0.0000000000,0.0000000000,0.2928802938,0.0000000000,0.0000000000,0.5387993801
2012-12-06,0.9387794008,0.0000000000,0.3806189313,0.0000000000,0.0000000000,0.1581804488,0.0000000000,0.0000000000,0.5387993801
2012-12-07,1.0060855756,-0.1346998450,0.2459190863,0.0000000000,0.0000000000,0.2928802938,0.0000000000,0.0000000000,0.5387993801
2012-12-10,0.8878227815,0.0000000000,0.3806189313,0.0000000000,0.0000000000,0.1581804488,0.0000000000,0.0000000000,0.5387993801
2013-01-03,-0.7743847087,0.0000000000,0.3989866190,0.2650249798,0.1562064839,0.1797819173,0.0000000000,0.0000000000,1.0000000000
2013-01-07,-1.2736608018,0.1837437551,0.5827303741,0.2650249798,0.0707810174,0.0814636288,0.0000000000,0.0000000000,1.0000000000
2013-01-11,-0.9579327456,0.0000000000,0.3989866190,0.2650249798,0.1562064839,0.1797819173,0.0000000000,0.0000000000,1.0000000000
2013-01-15,-1.2128119311,0.1837437551,0.5827303741,0.2650249798,0.0707810174,0.0814636288,0.0000000000,0.0000000000,1.0000000000
2013-01-18,-0.8900835203,0.0000000000,0.3989866190,0.2650249798,0.1562064839,0.1797819173,0.0000000000,0.0000000000,1.0000000000
2013-01-21,-1.0773998374,0.1837437551,0.5827303741,0.2650249798,0.0707810174,0.0814636288,0.0000000000,0.0000000000,1.0000000000
2013-02-05,-1.6236616524,0.1645336979,0.4088946026,0.3418652085,0.1670445291,0.0821956599,0.0000000000,0.0000000000,1.0000000000
2013-03-11,-2.0496544455,0.1448748187,0.1902975066,0.4205007253,0.2355933514,0.1536084168,0.0000000000,0.0000000000,1.0000000000
2013-03-28,-1.5881287488,0.1477598756,0.1923510855,0.4089604977,0.1868356870,0.2118527298,0.0000000000,0.0000000000,1.0000000000
2013-04-30,-2.0771444901,0.1456732994,0.1733059096,0.4173068023,0.2502695141,0.1591177740,0.0000000000,0.0000000000,1.0000000000
2013-06-25,-1.7882812321,0.1818804579,0.2300648558,0.2724781683,0.3049994133,0.1924575625,0.0000000000,0.0000000000,1.0000000000
2013-07-22,-1.6315962558,0.2364607065,0.2991046920,0.0541571741,0.3965262545,0.2502118794,0.0000000000,0.0000000000,1.0000000000
2013-07-29,-1.4720139629,0.1908937749,0.2102834325,0.2364249005,0.1968065238,0.3564851433,0.0000000000,0.0000000000,1.0000000000
2013-07-31,-1.3906992943,0.2299213012,0.2502289546,0.0803147951,0.2063651180,0.4630911322,0.0000000000,0.0000000000,1.0000000000
2013-08-02,-1.5536491939,0.1879674941,0.2057798008,0.2481300236,0.0000000000,0.5460901755,0.0000000000,0.0000000000,1.0000000000
2013-08-23,-1.0968132896,0.2339129611,0.2535999876,0.0643481554,0.0000000000,0.6820518570,0.0000000000,0.0000000000,1.0000000000
2013-08-26,-0.9745283503,0.0000000000,0.0196870264,0.0643481554,0.0000000000,0.9159648182,0.0000000000,0.0000000000,1.0000000000
2013-08-27,-1.0364592727,0.2339129611,0.2535999876,0.0643481554,0.0000000000,0.6820518570,0.0000000000,0.0000000000,1.0000000000
2013-08-28,-0.8450521279,0.0000000000,0.0196870264,0.0643481554,0.0000000000,0.9159648182,0.0000000000,0.0000000000,1.0000000000
2013-09-04,-0.9019551247,0.0000000000,0.0174598041,0.3441134670,0.0000000000,0.6384267288,0.0000000000,0.0000000000,1.0000000000
2013-09-05,-1.0337407868,0.1639716332,0.1814314374,0.3441134670,0.0000000000,0.4744550956,0.0000000000,0.0000000000,1.0000000000
2014-01-27,-0.9934258092,0.0000000000,0.0174598041,0.3441134670,0.0000000000,0.6384267288,0.0000000000,0.0000000000,1.0000000000
