date,signal_date,turnover,gross_decrease,us_decrease,factor_alignment,sale_top1,sale_top2,buy_top2,top1,top2,edge5,edge20,edge60
2011-12-15,2011-12-14,0.31975636999999996,-0.18408775199999994,-0.16396569100000002,0.083476226625,0.0,0.0,0.251922061,sp500,sp500|gold,0.0025615382426937457,0.005850552474268401,0.01486079600729183
2012-03-05,2012-03-02,0.21424725000000003,-0.05198725000000004,-0.030600132799999957,0.03175754979999999,0.0,0.08113000000000001,0.11173013279999999,nasdaq,nasdaq|sp500,-0.0013018142233069373,0.000511630261705291,-0.005194160402942482
2012-03-07,2012-03-06,0.2237087821,0.2237087821,0.06341707839999997,-0.008714404399999997,0.003149078399999991,0.0634170784,0.0,nasdaq,nasdaq|sp500,-0.0009190713722477526,0.0028300723738088726,0.009778250954622274
2012-03-09,2012-03-08,0.07957916290000001,-0.07957916290000006,-0.04732848730000003,0.012776072737500003,0.0,0.0,0.04732848730000001,nasdaq,nasdaq|sp500,-0.0006212573067411305,-0.0012100061150571643,-0.005430704305514061
2012-03-12,2012-03-09,0.44130263080000004,0.44130263080000004,0.2624579752,-0.0708491307,0.1521675352,0.2624579752,0.0,nasdaq,nasdaq|sp500,-0.009121338399230247,-0.00173155762313316,0.02057876133309737
2012-05-28,2012-05-25,0.520818,-0.520818,-0.337635,0.054053625,0.0,0.0,0.337635,nasdaq,nasdaq|sp500,-0.0076748996887320824,-0.0015092426752639472,0.03014933055751069
2012-08-20,2012-08-17,0.13581893280000001,0.13581893280000001,0.09139874240000001,-0.0342745284,0.0522411824,0.0913987424,0.0,nasdaq,nasdaq|sp500,-0.0025427763789417504,-0.0074525129600743365,0.0021824555023260738
2012-09-05,2012-09-04,0.16400960259999997,-0.16400960259999997,-0.1307065283,0.049014948112500005,0.0,0.0,0.1307065283,nasdaq,nasdaq|sp500,0.0005415225924286567,0.002480674005492534,-0.007186763573921942
2012-11-12,2012-11-09,0.12078190729999998,-0.12078190730000005,-0.0829274129,0.0037283023874999984,0.0,0.0,0.056376915999999985,gold,gold|sp500,-0.0007909087643512803,0.0007281397762766626,0.005085133630577642
2012-11-13,2012-11-12,0.3738184237,0.3697510971,0.3717847604,0.021302699075000004,0.0,0.1027152472,0.002033663300000016,gold,gold|sp500,-0.00804882444929534,-0.021751694807803184,-0.040836931906158766
2013-01-03,2013-01-02,0.3006397201,-0.30063972009999995,-0.18651062069999996,-0.010882366425000005,0.0,0.0,0.1276641834,sp500,sp500|csi300,-0.0018658897890360781,-0.0006382173940911269,0.0032902761817468168
2013-02-05,2013-02-04,0.29980746010000003,0.2998074601,0.08543591909999995,0.10674266645000002,0.00088620809999998,0.00088620809999998,0.0,sp500,sp500|csi300,-0.0006418732131869245,0.008378866235140541,0.021180051369339332
2013-03-11,2013-03-08,0.20000434739999998,-0.028162259999999995,-0.1140833037,0.08567702264999999,0.0,0.0,0.11408330369999997,sp500,sp500|nasdaq,-0.004189317198494948,-0.0013984790408725193,0.013919705498172338
2013-03-28,2013-03-27,0.08445764799999998,-0.01841400000000004,-0.017991203999999983,-0.003969052999999988,0.03302182399999998,0.03302182399999998,0.051013028,sp500,sp500|nasdaq,-0.001412452755712306,-0.001055981991182329,-0.0001284135594432791
2013-04-30,2013-04-29,0.1036193518,-0.00020478599999995684,-0.00993166830000003,0.0166767945875,0.0,0.041980400599999995,0.0519120689,sp500,sp500|nasdaq,-0.0008687227422954262,-0.0004531716851154865,-0.0002509123357088373
2013-06-25,2013-06-24,0.29061461399999994,-0.29061461399999994,-0.2648280839999999,0.08641726649999999,0.0,0.0,0.26482808399999996,nasdaq,nasdaq|sp500,0.0010199070213647195,0.015539620236267211,0.020530442190753322
2013-07-22,2013-07-19,0.2719019124,-0.27190191240000006,-0.25389361440000013,0.0862059564,0.0,0.0,0.2538936144,nasdaq,nasdaq|sp500,-0.004323904107562261,-0.008103250931743813,0.0019731441050275635
2013-07-23,2013-07-22,0.0898306876,-0.08983068760000001,-0.0838811236999999,0.026108540600000014,0.0,0.0,0.0838811237,nasdaq,nasdaq|sp500,-0.0009371758398750037,-0.0018655403209521997,0.00037076728298931507
2013-07-29,2013-07-26,0.4330134034999999,0.39215878130000004,0.3413629868,-0.10261322280000001,0.0,0.36179029789999995,0.020427311099999956,nasdaq,nasdaq|sp500,-0.007212349136352197,8.325521499143868e-05,-0.012533040472222715
2013-07-31,2013-07-30,0.2589403593,-0.25894035930000003,-0.2552359431000001,0.0947873746125,0.0,0.0,0.2552359431,nasdaq,nasdaq|sp500,-0.0014907641065320127,-0.006167833888804139,0.01306047511116944
2013-08-02,2013-08-01,0.3147368811,0.21525654390000004,0.2115521277000001,-0.038600781675000015,0.0,0.2612922963,0.04974016859999997,nasdaq,nasdaq|sp500,-0.0006617081360384561,0.007196098875721304,-0.006016267588102151
2013-08-23,2013-08-22,0.25810411540000006,-0.2581041154,-0.25439969920000005,0.12627374555000004,0.0,0.0,0.25439969920000005,nasdaq,nasdaq|sp500,-0.007576837113108148,0.005191138005676441,0.018474999118460983
2013-09-04,2013-09-03,0.33915493080000003,0.33915493080000003,0.33520156190000006,-0.16710660983750003,0.33520156190000006,0.33520156190000006,0.0,nasdaq,nasdaq|sp500,-0.010404057245025945,-0.018674040004356175,-0.037812379696473955
2014-03-07,2014-03-06,0.10246358549999997,-0.05591855190000006,0.023272516799999976,-0.021535141987499985,0.023272516799999976,0.023272516799999976,0.0,nasdaq,nasdaq|sp500,0.0019768566732071393,-0.0011730264513632625,-0.005064092231123995
2014-03-12,2014-03-11,0.2668433203,-0.2668433203,-0.24419279630000001,0.11643376715,0.0,0.0,0.24419279630000001,nasdaq,nasdaq|sp500,-0.0019645974839284115,-0.009443456229664427,-0.004459161328785886
2014-04-02,2014-04-01,0.4040823498,0.3309826132,0.3589095185,-0.089727379625,0.3675324815,0.3675324815,0.008622963,nasdaq,nasdaq|sp500,0.004084720710294408,0.006748311418436688,-0.013874824543223955
2014-06-06,2014-06-05,0.5622534777,0.5622534777,0.41729886499999996,-0.052122477237499985,0.008622963,0.41729886499999996,0.0,sp500,sp500|nasdaq,-0.003582568413185978,-0.025759556568695517,-0.02422154599246113
2014-06-25,2014-06-24,0.7604331748,-0.7604331748,-0.7110222747999999,0.282796917375,0.0,0.0,0.7110222747999999,sp500,sp500|nasdaq,-0.002178121926793248,-0.0008781414812994021,-0.0019869459904101874
2014-09-17,2014-09-16,0.23956682520000008,-0.23956682520000006,-0.22400041800000015,0.02021684865000001,0.0,0.0,0.09163153530000001,shanghai,shanghai|nasdaq,-0.003168922989306147,-0.019031833700006356,0.0029359509210381005
