event_type,horizon,factor,n,beta_sd,t,p,r2,spearman
us_derisk,20,buy_top2,48,-0.00021899214876565815,-0.17056426763480417,0.8645663964301213,0.00013972626476876915,0.03236636499652355
us_derisk,60,factor_alignment,47,-0.008090189767638707,-2.11380734702957,0.0345317252056438,0.09727973322146855,-0.2406336725254394
us_derisk,60,sale_top1,47,0.006448460845634721,1.4788339340033283,0.139184704013264,0.06180407171287694,0.1568750858498461
us_derisk,60,sale_top2,47,0.0012341518865223243,0.19966605230997297,0.8417417654477427,0.0022638214793204714,-0.017578350990683726
us_derisk,60,buy_top2,47,-0.0011393050269925505,-0.630917646387428,0.5280943730393998,0.00192923432662917,-0.19272833625889005
non_us_derisk,5,factor_alignment,29,0.00043717714101114977,0.38249589809135726,0.702093570878213,0.005576603228283017,0.07192118226600985
non_us_derisk,5,sale_top1,29,-0.0008965190317119961,-0.8360265752433653,0.40313995278229636,0.023451675778296877,-0.1301187207823167
non_us_derisk,5,sale_top2,29,-0.0014245681998609598,-1.2268744003934051,0.21986980160719066,0.059213583639395995,-0.2143913518145788
non_us_derisk,5,buy_top2,29,-0.0022733421490632854,-2.7599999876971286,0.005780136370125879,0.1507941392986395,-0.39673110950687585
non_us_derisk,20,factor_alignment,29,0.0013139791562686517,0.3631280378593807,0.7165092409084617,0.007510579713298937,0.13596059113300493
non_us_derisk,20,sale_top1,29,-0.004777351867504909,-1.6687970885496721,0.09515759992326425,0.09928210282983219,-0.29907515860422224
non_us_derisk,20,sale_top2,29,0.0019020401143998139,0.4894053186903272,0.6245547713345577,0.01573750394129292,0.04386397772758049
non_us_derisk,20,buy_top2,29,-0.006613777149919503,-2.28500650543202,0.02231244630947407,0.1902810864564458,-0.12082001577954637
non_us_derisk,60,factor_alignment,29,0.0027049910607878877,1.009610681622407,0.31268185000359605,0.03500095432802042,0.1123152709359606
non_us_derisk,60,sale_top1,29,-0.0050656710180429785,-2.490928117735464,0.012740989396693549,0.12275019226648698,-0.18404625144875214
non_us_derisk,60,sale_top2,29,-0.0015946490484224358,-0.5006810171703072,0.6165956340557728,0.012164057195368061,-0.0423854166805834
non_us_derisk,60,buy_top2,29,-0.006652973643420033,-4.295245553722625,1.7450007881030298e-05,0.21172874500906735,-0.30495436675125887
