date,split,b_short,b_long,ic,top2_bottom2
2023-04-10,holdout,0.023649803972729873,0.05093751944975754,0.1,0.00251288095884461
2023-04-11,holdout,0.02372702379603257,0.05089885186306528,-0.2,0.0020979451776472757
2023-04-12,holdout,0.023598211002405667,0.05098380047834477,-0.7,-0.022678654403358534
2023-04-13,holdout,0.023565566404206543,0.05105498154150857,-0.3,-0.005269294082057008
2023-04-14,holdout,0.023444113004006655,0.050927490492475545,-0.3,0.000746546585415564
2023-04-17,holdout,0.023377206084155094,0.05079965178134413,-0.5,-0.021474036399311225
2023-04-18,holdout,0.023325505004417362,0.05081511006222904,-0.5,-0.029448589237272504
2023-04-19,holdout,0.023274658024975362,0.05068506577409715,0.0,-0.011898953431052572
2023-04-20,holdout,0.02322965191572736,0.05049439935233811,0.0,-0.030968117761546454
2023-04-21,holdout,0.0232068266123654,0.05044121515065503,0.1,-0.019920625068559683
2023-04-24,holdout,0.02317514884359495,0.050476679067516295,0.1,-0.03066118433214826
2023-04-25,holdout,0.023115242012708197,0.05052043418175588,0.1,-0.03790164308716859
2023-04-26,holdout,0.02306906458626384,0.05071490459741434,0.1,-0.032944012727321614
2023-04-27,holdout,0.023170287606926316,0.050670575343553625,0.1,-0.032249020469795386
2023-04-28,holdout,0.023102594296972073,0.05081600929905268,0.1,-0.038782318396533844
2023-05-01,holdout,0.023144009419194738,0.050831433512881136,0.1,-0.0291489962134181
2023-05-02,holdout,0.023133723869747044,0.05088810216041913,0.2,-0.013499935616001546
2023-05-03,holdout,0.02333478448006647,0.050864074207819,0.1,-0.04493723106626524
2023-05-04,holdout,0.023418302570778496,0.051014551800086884,0.2,-0.030605383800186348
2023-05-05,holdout,0.023522633064961777,0.0508939268982042,0.2,-0.02834725396003951
2023-05-08,holdout,0.023620905080602512,0.05093570065939046,0.2,-0.027573076946222796
2023-05-09,holdout,0.023849142665194646,0.050997494452098106,0.1,-0.058727844298111564
2023-05-10,holdout,0.024004356883236242,0.0509134142009965,0.7,0.08549390247048433
2023-05-11,holdout,0.0242049632073187,0.05091514432243368,0.7,0.08921604335697603
2023-05-12,holdout,0.02443549598871859,0.050959751104953224,0.7,0.07446852309099261
2023-05-15,holdout,0.024538265992766862,0.05087173009429443,0.5,0.04120214612823686
2023-05-16,holdout,0.0246409910700374,0.050783747562765984,0.5,0.03712777394381206
2023-05-17,holdout,0.024822918925385483,0.050741430934614785,0.5,0.035356154885057556
2023-05-18,holdout,0.024949496104267128,0.05061655115216603,0.3,0.02885780444906949
2023-05-19,holdout,0.025136005143734933,0.05055915976656678,0.6,0.053994810856231035
2023-05-22,holdout,0.0253489040288313,0.050548118237899696,0.6,0.06260255110099194
2023-05-23,holdout,0.02556170994498221,0.050427911225183995,0.6,0.05444598428776637
2023-05-24,holdout,0.025708935068329736,0.0503295859880687,0.6,0.0560202637022596
2023-05-25,holdout,0.025859213719402932,0.05025624598987962,0.6,0.046393046355706735
2023-05-26,holdout,0.026080325757926848,0.050108371840549046,0.6,0.033613533252440486
2023-05-29,holdout,0.02629278641984702,0.049988365651229556,0.5,0.04562352192067487
2023-05-30,holdout,0.02629278641984702,0.049988365651229556,0.5,0.03171825636601905
2023-05-31,holdout,0.026413321770338016,0.049885630428278586,0.3,0.025042812860145702
2023-06-01,holdout,0.026774812656632268,0.04958783821194355,0.5,0.0591696608786067
2023-06-02,holdout,0.027136145927541176,0.04929017583742945,0.9,0.07678693596069797
2023-06-05,holdout,0.027497321686126234,0.048992643219835375,0.6,0.054979161871830495
2023-06-06,holdout,0.027675059740869278,0.048875147311870405,0.6,0.039805199106835
2023-06-07,holdout,0.02751996484194626,0.049151163504979854,0.5,0.05187012879342179
2023-06-08,holdout,0.02751996484194626,0.049151163504979854,0.6,0.04354873202563786
2023-06-09,holdout,0.02751996484194626,0.049151163504979854,0.7,0.04900264170852259
2023-06-12,holdout,0.027800572445701926,0.04899142451787013,0.6,0.03383668024595049
2023-06-13,holdout,0.028081057833602298,0.04883175510348997,0.6,0.02367908242203426
2023-06-14,holdout,0.028361421085474847,0.04867215521639672,0.8,0.0348608831605956
2023-06-15,holdout,0.02873331500889184,0.0483866023104426,1.0,0.028489867202346975
2023-06-16,holdout,0.02873331500889184,0.0483866023104426,1.0,0.041963412961750324
2023-06-19,holdout,0.02873331500889184,0.0483866023104426,1.0,0.054484125274705086
2023-06-20,holdout,0.02873331500889184,0.0483866023104426,1.0,0.05908707651668793
2023-06-21,holdout,0.02873331500889184,0.0483866023104426,1.0,0.060681028446121166
2023-06-22,holdout,0.02902486837942997,0.04823862286546352,0.9,0.04108188463466628
2023-06-23,holdout,0.02931629487730903,0.048090707815369116,1.0,0.0518433638820352
2023-06-26,holdout,0.02948165432680505,0.04803445003342332,0.8,0.044933401834512054
2023-06-27,holdout,0.02948165432680505,0.04803445003342332,0.1,0.0058046904849933245
2023-06-28,holdout,0.0292534921916454,0.04830971994211463,0.7,0.01411831265280139
2023-06-29,holdout,0.028846586613182793,0.04876842509908353,0.1,0.0043818617789775915
2023-06-30,holdout,0.028846586613182793,0.04876842509908353,-0.9,-0.013005619501678778
2023-07-03,holdout,0.028846586613182793,0.04876842509908353,-0.3,-0.0029824017246069534
2023-07-04,holdout,0.028846586613182793,0.04876842509908353,-0.3,-0.0009041371894232819
2023-07-05,holdout,0.029011940330051778,0.04871205667715124,-0.8,-0.014379409168023938
2023-07-06,holdout,0.029011940330051778,0.04871205667715124,-1.0,-0.020850464678793146
2023-07-07,holdout,0.02897131727480897,0.048884495974365054,-0.7,-0.02559492259370244
2023-07-10,holdout,0.02897131727480897,0.048884495974365054,-0.7,-0.011701111630517791
2023-07-11,holdout,0.02897131727480897,0.048884495974365054,-0.2,-0.006289240174577437
2023-07-12,holdout,0.029170882051814145,0.04886243685334773,-0.7,-0.023976649592844568
2023-07-13,holdout,0.029164544688778774,0.04906907112733136,-0.9,-0.02419994732062225
2023-07-14,holdout,0.02915821007872474,0.04927561563838102,-0.1,0.002573997543669715
2023-07-17,holdout,0.029151878219858568,0.049482070444974206,-0.2,-0.002514697768413676
2023-07-18,holdout,0.02914554911038834,0.04968843560553761,-1.0,-0.018798876096931483
2023-07-19,holdout,0.029139222748523704,0.049894711178447196,-0.9,-0.02361795635841457
2023-07-20,holdout,0.029349913021364735,0.049883883333139374,-0.6,-0.016310315820256382
2023-07-21,holdout,0.029343545064536496,0.05009002699047651,0.1,-0.005428935562261483
2023-07-24,holdout,0.029343545064536496,0.05009002699047651,0.1,0.009005555193682124
2023-07-25,holdout,0.02980526983498716,0.049679572480682936,0.7,0.015206423918308731
2023-07-26,holdout,0.02976456282855101,0.049851427976383915,0.9,0.04711877456254798
2023-07-27,holdout,0.02976456282855101,0.049851427976383915,0.7,0.023325668506115227
2023-07-28,holdout,0.02976456282855101,0.049851427976383915,0.9,0.053011696718357815
2023-07-31,holdout,0.02976456282855101,0.049851427976383915,0.9,0.05066800131650151
2023-08-01,holdout,0.029952111024404596,0.04960096947988107,0.9,0.05271130627507059
2023-08-02,holdout,0.029740248780295107,0.04960162645136763,0.7,0.056551523007413174
2023-08-03,holdout,0.029733803126029766,0.04937414452105741,0.7,0.06853744329487177
2023-08-04,holdout,0.029564846722318815,0.04930927471726086,0.6,0.06449924904893861
2023-08-07,holdout,0.02939596352328885,0.04924443301996509,0.7,0.0397345633404001
2023-08-08,holdout,0.029227153481373475,0.04928791484084013,0.7,0.04586106175728838
2023-08-09,holdout,0.029058416549047495,0.049223105851052155,0.7,0.045371783391469356
2023-08-10,holdout,0.028835628409504512,0.04921244919250029,0.6,0.061495601861370486
2023-08-11,holdout,0.02865537793395539,0.049388538510432484,0.7,0.043079327400733336
2023-08-14,holdout,0.02857704235480211,0.04944998512259931,0.6,0.022939904040835957
2023-08-15,holdout,0.02845631781844108,0.04932474458823573,0.7,0.021294243049357064
2023-08-16,holdout,0.028233852683719377,0.04931407516479029,0.7,0.02151378395892667
2023-08-17,holdout,0.028011483770941755,0.04930341035614739,0.7,0.03638370987045231
2023-08-18,holdout,0.027748670477153445,0.0494684258349893,0.7,0.02704896147319319
2023-08-21,holdout,0.027526502584702697,0.04967390174812484,0.7,0.01063913245910092
2023-08-22,holdout,0.02750704580869563,0.049865781172860495,0.9,0.017662833845838333
2023-08-23,holdout,0.027501102194648807,0.05007108243016973,-0.3,-0.007558267658876294
2023-08-24,holdout,0.027481659312342768,0.05026279314902258,0.3,0.0034917432907923263
2023-08-25,holdout,0.027403729508315627,0.05050391709578665,-0.6,-0.02262223766593069
2023-08-28,holdout,0.027397812054308215,0.05070894756067636,-0.6,-0.014022107226019709
2023-08-29,holdout,0.027391897155332762,0.05091388949773148,-0.3,-0.01538807470822745
2023-08-30,holdout,0.027534376780380173,0.050943370635331796,-0.6,-0.02675863525027755
2023-08-31,holdout,0.027676794912279104,0.05097283904909197,-0.6,-0.029234943393165125
2023-09-01,holdout,0.027778698516397273,0.051069716537970274,-0.5,-0.028611899604419455
2023-09-04,holdout,0.02792100250722635,0.05109914498565406,-0.6,-0.019922182797133647
2023-09-05,holdout,0.028063245120444547,0.05112856074045551,-0.6,-0.034749753469732914
2023-09-06,holdout,0.028205426395752773,0.05115796381058478,-0.8,-0.027259168045392468
2023-09-07,holdout,0.028259973620069274,0.05126145422580129,-0.9,-0.042424065982676284
2023-09-08,holdout,0.0284020512119615,0.051290815981356076,-0.9,-0.03871856923116451
2023-09-11,holdout,0.028456532562702298,0.0513942331724827,-0.8,-0.016765467009092705
2023-09-12,holdout,0.02859850659704898,0.05142355367373808,-0.1,-0.0034384407803899064
2023-09-13,holdout,0.028740419475231826,0.051452861545012316,-0.1,-0.0017366011075385934
2023-09-14,holdout,0.0288822712367574,0.051482156794464294,-0.8,-0.019880186451064874
2023-09-15,holdout,0.029024061921098247,0.051511439430245894,0.1,0.0012097515069610654
2023-09-18,holdout,0.029004362381296032,0.051702138646898876,0.7,0.009609756493048738
2023-09-19,holdout,0.028998120857220006,0.051906205326768276,0.9,0.008014835371853102
2023-09-20,holdout,0.028743119110047625,0.0520227810140904,0.4,0.01641759238768753
2023-09-21,holdout,0.028535280194343163,0.05224013468562964,0.9,0.03869490015318372
2023-09-22,holdout,0.028327530671720724,0.05224234110827789,0.7,0.04147803580788234
2023-09-25,holdout,0.028119870484519752,0.0522445465821312,0.7,0.06457922867856941
2023-09-26,holdout,0.02786527678923073,0.05236094930212644,0.9,0.0636931035330493
