label,factor,family,ar1,dev_base_r2,dev_full_r2,dev_partial_r2,dev_cond_beta_sd,dev_cond_t_nw,dev_cond_p,val_base_oos_r2,val_full_oos_r2,val_delta_oos_r2,hold_base_oos_r2,hold_full_oos_r2,hold_delta_oos_r2,dev_cond_bh_q
fwd_gold_20,chg_vix3m_20,vix_term,0.919219413603943,0.04392221453365941,0.04408451493775378,0.00016975648483999537,-0.0007044315708231222,-0.1355119437900945,0.8922071215833183,0.0073633828590965456,-0.0013066743430818484,-0.008670057202178394,0.10064760555782015,0.1030530545295526,0.002405448971732449,0.9107947699496374
fwd_gold_20,chg_real10_20,real_yield,0.9438382203889654,0.03105481196417703,0.031059435233420363,4.7714455888915585e-06,-0.00011259171430005608,-0.03328527261677879,0.9734470980023016,-0.019372689754755257,-0.019399335082058267,-2.6645327303009836e-05,0.10013728959198243,0.1002516095045547,0.00011431991257226937,0.9734470980023016
fwd_portfolio_20,eff_nasdaq_60,trend_efficiency,0.9513594164478254,0.23555015085079578,0.24858311108211673,0.017048809998230753,-0.0030842632563270636,-2.6335042319351247,0.008450878257228669,0.027517459687410928,0.005784260935936758,-0.02173319875147417,0.09220764689238925,0.09441768555891872,0.002210038666529468,0.41409303460420477
fwd_portfolio_20,vix_level,vix,0.9769282431707892,0.23800043757696154,0.24586470895282908,0.010320572036630041,0.0028279275228361963,1.8778678984671855,0.06039923885324554,0.020886963872791986,0.06976130088939592,0.04887433701660393,0.09320710337825588,0.10484206294305842,0.011634959564802538,0.547871143024844
fwd_portfolio_20,vix_term_ratio,vix_term,0.9258005186262785,0.2550658184200921,0.2655444499237307,0.014066519919135387,0.0028266100836032743,1.7680656269655919,0.07704993298996793,0.05017636346198795,0.09099347152816806,0.04081710806618011,0.09340602999025038,0.11814632500252231,0.02474029501227193,0.547871143024844
fwd_portfolio_20,vol_gold_120,volatility,0.9990752040534255,0.23299491643776105,0.24123420339102952,0.010742154295773838,0.002779713419245437,1.895364279958569,0.058044157563942066,0.034430117551410566,0.06871552638546574,0.034285408834055175,0.0912282723412704,0.07478321901777885,-0.016445053323491554,0.547871143024844
fwd_portfolio_20,downvol_sp500_120,downside_vol,0.9989365712336435,0.23299491643776105,0.24617425571285345,0.017182857790046135,0.003958154680009992,2.2079745799054455,0.0272460452280845,0.034430117551410566,0.06047795399240963,0.02604783644099906,0.0912282723412704,0.09892108094424545,0.007692808602975054,0.547871143024844
fwd_portfolio_20,vol_sp500_120,volatility,0.9994852846373694,0.23299491643776105,0.24529110057026404,0.01603142455770336,0.0039058268034793914,2.084046889513871,0.037155902334212516,0.034430117551410566,0.05657837335277349,0.022148255801362926,0.0912282723412704,0.09677464537538949,0.00554637303411909,0.547871143024844
fwd_portfolio_20,vol_nasdaq_120,volatility,0.999412747086142,0.23299491643776105,0.24171991151536243,0.01137540710562108,0.0032647792317456303,1.760829258281704,0.07826730614640628,0.034430117551410566,0.053755625886557024,0.019325508335146457,0.0912282723412704,0.10256958181279363,0.011341309471523231,0.547871143024844
fwd_portfolio_20,vix3m_level,vix_term,0.9855499705337826,0.2550658184200921,0.26511619230033723,0.013491626681607726,0.003326485434249529,1.6342598252459095,0.10220430550962248,0.05017636346198795,0.0898378401542751,0.039661476692287145,0.09340602999025038,0.10765167849822765,0.014245648507977271,0.6108560283212535
fwd_portfolio_20,breadth_20,breadth,0.868515215584896,0.23719998474843995,0.2411422685605098,0.005168174794503302,-0.0017960012796534872,-1.5883905810496937,0.11219804601818943,0.023055196076434914,0.031196503236742723,0.008141307160307809,0.09287328580904897,0.10322631175278396,0.010353025943734995,0.6108560283212535
fwd_portfolio_20,rel_gold_china_252,relative_strength,0.9977012402181804,0.23531515849378792,0.24171300606192303,0.00836664625852026,-0.0026344301872229118,-1.266285550464992,0.20541086825379762,0.03166529998511314,0.0537994286736696,0.022134128688556465,0.08956752230095255,0.08429010111246504,-0.005277421188487508,0.6987923183740636
fwd_portfolio_20,breadth_60,breadth,0.9347911415666134,0.23555015085079578,0.23839184587368467,0.003717307323759119,-0.001594669721803193,-1.2428692577762461,0.213916015828795,0.027517459687410928,0.04440371903862528,0.01688625935121435,0.09220764689238925,0.09368059033990683,0.0014729434475175829,0.6987923183740636
fwd_portfolio_20,dd_csi300_252,drawdown,0.9958245543642024,0.23518453492544966,0.23737796500803054,0.0028679206720369837,-0.00162857483634459,-1.2645086171195572,0.20604752977755186,0.030915320014613612,0.025355495315907195,-0.005559824698706417,0.08946124496764074,0.08828646853793642,-0.0011747764297043162,0.6987923183740636
fwd_portfolio_20,eff_csi300_120,trend_efficiency,0.9875972273066804,0.23299491643776105,0.24020946790365127,0.009406132528331283,-0.002675194232070509,-1.3543486185188074,0.1756251818868116,0.034430117551410566,0.007098632092202073,-0.027331485459208493,0.0912282723412704,0.08482438575881435,-0.006403886582456053,0.6987923183740636
fwd_portfolio_20,eff_shanghai_120,trend_efficiency,0.9858693303807231,0.23299491643776105,0.238826979205231,0.0076036820256572685,-0.002434020509743745,-1.2745007165316282,0.20248601888015635,0.034430117551410566,0.004695995346846504,-0.029734122204564062,0.0912282723412704,0.08495596515459791,-0.006272307186672488,0.6987923183740636
fwd_portfolio_20,dispersion_60,dispersion,0.9670340444519805,0.23555015085079578,0.24068731820397227,0.006720084200283256,-0.0020620911928040235,-1.2787927844825218,0.20097003549934242,0.027517459687410928,-0.018986190009942616,-0.046503649697353544,0.09220764689238925,0.10108326008257629,0.008875613190187037,0.6987923183740636
fwd_portfolio_20,rel_gold_china_120,relative_strength,0.9936587443446857,0.23299491643776105,0.23502170004332668,0.0026424643708390302,-0.001547751594291798,-0.7795687660329226,0.4356447465086559,0.034430117551410566,0.05659833140486603,0.022168213853455465,0.0912282723412704,0.09129958938811267,7.131704684226747e-05,0.7360893992732462
fwd_portfolio_20,rel_us_china_252,relative_strength,0.9975123425165164,0.23531515849378792,0.23954332251338883,0.005529289702242074,-0.0020078668721808007,-1.0548572973980372,0.29149059485426776,0.03166529998511314,0.05219129341632067,0.020525993431207534,0.08956752230095255,0.08124433534187936,-0.008323186959073192,0.7360893992732462
fwd_portfolio_20,vix_z252,vix,0.9398007540599534,0.23518453492544966,0.2376284527863306,0.003195434679975671,0.001387150973858618,0.9609473582348296,0.33657863707543306,0.030915320014613612,0.048513262915871325,0.017597942901257713,0.08946124496764074,0.11121174963158986,0.021750504663949122,0.7360893992732462
fwd_portfolio_20,mom_csi300_252,momentum,0.9983889084636031,0.23531515849378792,0.2387634485198472,0.004509426418427667,0.0018705199776192965,0.9575500624347982,0.33828969068556247,0.03166529998511314,0.0478038663400423,0.016138566354929162,0.08956752230095255,0.08492041246103688,-0.004647109839915675,0.7360893992732462
