horizon,factor,dev_n,dev_rank_ic,dev_ic_t_nw,dev_ic_p,val_rank_ic,val_ic_t_nw,hold_rank_ic,hold_ic_t_nw,dev_top2_bottom2,dev_spread_t_nw,val_top2_bottom2,val_spread_t_nw,hold_top2_bottom2,hold_spread_t_nw,val_sign_stable,hold_sign_stable,dev_bh_q,selection_score
5,drawdown_252,3104,0.06161080933793703,3.3351356644805574,0.0008525779408363431,0.023604786303970757,0.9466363570762902,0.03755598744097977,1.5610100800140483,0.0025345437155873496,2.2374243746742235,0.0014339244489497457,1.1446870020528837,0.0005630354509774045,0.528982504011832,1,1,0.0023609850669314117,5.835135664480557
5,near_peak_252,3104,0.06161080933793703,3.3351356644805574,0.0008525779408363431,0.023604786303970757,0.9466363570762902,0.03755598744097977,1.5610100800140483,0.0025345437155873496,2.2374243746742235,0.0014339244489497457,1.1446870020528837,0.0005630354509774045,0.528982504011832,1,1,0.0023609850669314117,5.835135664480557
5,efficiency_60,3295,0.04506101011188731,2.6370812905613903,0.00836227895545612,0.0063069589571962265,0.26879441668317006,0.00991803139499589,0.4416349788880126,0.003131876536864248,2.9944343529491055,0.0005966183557501711,0.5086550764244685,0.0004970490422726948,0.47763266865272436,1,1,0.01672455791091224,5.13708129056139
5,ma_distance_60,3296,0.0702368601631134,3.8456850026123037,0.0001202161204430518,-0.011380045312832642,-0.4521333443708835,0.014548632480469493,0.5413144517679973,0.002886575597446269,2.6150044860351906,0.00023651153996665747,0.18324835658938413,-0.00019033549667563858,-0.16467376632374656,0,1,0.0007633436548757752,4.845685002612304
5,risk_adjusted_momentum_20_20,3335,0.05177477040136537,3.051147268981082,0.0022796872966238967,-0.023954094555472902,-1.027047780138331,0.022048377938821247,0.8901761224874876,0.0021682822702421647,2.0958121472175835,-0.00011487058653114854,-0.0963776247755951,0.00027446250112300887,0.2574896200498842,0,1,0.005862053048461449,4.051147268981082
5,drawdown_60,3286,0.051217799310719646,2.9375190845654577,0.003308498077270583,-0.004444899435381727,-0.19075357767178472,-0.0018353337074714985,-0.07446909481227328,0.0022673601867121973,2.131782624273236,0.0012687485059017108,1.0229313046020696,-0.0006530131718741172,-0.6003913673627037,0,0,0.007444120673858812,3.9375190845654577
5,near_peak_60,3286,0.051217799310719646,2.9375190845654577,0.003308498077270583,-0.004444899435381727,-0.19075357767178472,-0.0018353337074714985,-0.07446909481227328,0.0022673601867121973,2.131782624273236,0.0012687485059017108,1.0229313046020696,-0.0006530131718741172,-0.6003913673627037,0,0,0.007444120673858812,3.9375190845654577
5,efficiency_120,3235,0.05198358143086719,2.7737400799000587,0.005541593418443784,-0.009018209927158684,-0.35958641245333195,0.025672288491281205,1.0610168829900384,0.003950825843682681,3.3220706922032393,-0.001248904651994917,-1.007021322968454,0.0010763044481342458,0.9989868719010224,0,1,0.011735139003763308,3.7737400799000587
5,momentum_20,3335,0.0455964981723246,2.5930826381430414,0.009511991184980764,-0.021546141703853716,-0.8746971689568946,0.0296478025566143,1.1509098674015663,0.002069111213872814,1.9064540235236687,0.00044749317370442826,0.34146006458402384,0.0002903065741011521,0.2628066495682226,0,1,0.018022720139963554,3.5930826381430414
5,efficiency_20,3335,0.03188594462209708,1.958813440587956,0.05013463896354028,0.015762232689007817,0.7140366725102765,0.023776302811089393,1.050723689128764,0.0027231085222893547,2.7742098222576663,0.00041684322009383104,0.39246505549147026,0.0019726165694023447,1.898850428506258,1,1,0.08594509536606905,3.458813440587956
