horizon,factor,dev_n,dev_factor_beta,dev_factor_t_nw,dev_factor_p,val_factor_beta,val_factor_t_nw,hold_factor_beta,hold_factor_t_nw,dev_weight_beta,dev_weight_t_nw,val_sign_stable,hold_sign_stable,overlap_n,mean_rank_corr_with_target,top1_match_rate,top2_mean_overlap,dev_bh_q,score
5,momentum_120,2803,0.04978684125302659,2.0406697090245753,0.04128366814514241,0.0409025119366843,1.1259997589231692,-0.030641639218286398,-0.913297749676285,0.07089516949087135,3.214588122786567,1,0,6275,0.38944607069824316,0.4809561752988048,0.54398406374502,0.06755509332841485,3.5406697090245753
5,volatility_20,2791,0.041828187873187914,1.904132206568407,0.05689296816181501,0.08228289357948552,2.6392976007568776,-0.02477825059640074,-0.7298526954850152,0.05461857730347095,2.585801856540397,1,0,6375,-0.04865992304193544,0.1512156862745098,0.36305882352941177,0.0853394522427225,3.404132206568407
5,low_vol_20,2791,-0.041828187873187914,-1.904132206568407,0.05689296816181501,-0.08228289357948552,-2.6392976007568776,0.02477825059640074,0.7298526954850152,0.05461857730347095,2.585801856540397,1,0,6375,0.04865992304193544,0.2901960784313726,0.4139607843137255,0.0853394522427225,3.404132206568407
5,risk_adjusted_momentum_120_60,2800,0.038731385079632814,1.598810319694375,0.10986275534619981,0.027108477632780265,0.8075425550424408,-0.018884596583666247,-0.5878398074992912,0.07982698526001256,3.639483518537633,1,0,6275,0.4025451613383808,0.47394422310756973,0.5490039840637451,0.1383794527197951,3.0988103196943753
5,drawdown_60,2782,0.03758747476534804,1.7409705793243049,0.08168873571006521,-0.0037681469908885574,-0.12070952105999708,0.00436315970134121,0.153448935517611,0.06910100594904436,3.3131077438931364,0,1,6336,0.20557557889058628,0.3732638888888889,0.47853535353535354,0.11310748021393645,2.740970579324305
5,near_peak_60,2782,0.03758747476534804,1.7409705793243049,0.08168873571006521,-0.0037681469908885574,-0.12070952105999708,0.00436315970134121,0.153448935517611,0.06910100594904436,3.3131077438931364,0,1,6336,0.20557557889058628,0.3732638888888889,0.47853535353535354,0.11310748021393645,2.740970579324305
5,momentum_5,2789,0.016822608236590313,0.8674517906249951,0.38569451550137845,0.03230670365394342,1.2718508336888485,-0.05511916315457374,-1.880745785947127,0.06453481281356184,3.3148951010322807,1,0,6390,0.06995334463877827,0.29107981220657275,0.4210485133020344,0.4479033083241814,2.3674517906249952
5,volatility_60,2808,0.016631301710137585,0.7910418020053225,0.4289195984945469,0.11123527747678946,3.8910398865100384,-0.03496482844152856,-1.0580889989938893,0.04525599505102955,2.295564267764915,1,0,6335,-0.08300824293329791,0.12375690607734807,0.35611681136543016,0.46791228926677847,2.2910418020053225
5,low_vol_60,2808,-0.016631301710137585,-0.7910418020053225,0.4289195984945469,-0.11123527747678946,-3.8910398865100384,0.03496482844152856,1.0580889989938893,0.04525599505102955,2.295564267764915,1,0,6335,0.08300824293329791,0.3082872928176796,0.41681136543014996,0.46791228926677847,2.2910418020053225
5,downside_vol_20,2796,0.014019645247717184,0.6721103522505281,0.5015134465457272,0.07343217966668086,2.375992453341926,-0.1436682345418846,-4.5795334271327235,0.05806926435898766,2.830256549722015,1,0,6375,-0.06118077352187866,0.1871372549019608,0.364078431372549,0.5310142375190052,2.1721103522505283
